130	3504
165	3693
150	3436
150	3433
140	3449
198	4341
220	4354
215	4312
225	4425
190	3850
115	3090
165	4142
153	4034
175	4166
175	3850
170	3563
160	3609
140	3353
150	3761
225	3086
95	2372
95	2833
97	2774
85	2587
88	2130
46	1835
87	2672
90	2430
95	2375
113	2234
90	2648
215	4615
200	4376
210	4382
193	4732
86	2464
81	2220
92	2572
79	2255
83	2202
140	4215
150	4190
120	3962
152	4215
100	3233
105	3353
81	3012
90	3085
52	2035
60	2164
70	1937
53	1795
100	3651
78	3574
110	3645
95	3193
71	1825
70	1990
75	2155
72	2565
102	3150
150	3940
88	3270
108	2930
120	3820
180	4380
145	4055
130	3870
150	3755
88	2605
88	2640
88	2395
85	2575
84	2525
90	2735
92	2865
NaN	3035
74	1980
68	2025
68	1970
63	2125
70	2125
88	2160
75	2205
70	2245
67	1965
67	1965
67	1995
110	2945
85	3015
92	2585
112	2835
96	2665
84	2370
90	2950
86	2790
52	2130
84	2295
79	2625
82	2720
